age,annual_income,employment_length_years,num_credit_accounts,credit_utilization,missed_payments_2yrs,loan_amount,debt_to_income_ratio,home_ownership,loan_purpose,creditworthy
40,40082.43,0,11,0.438,0,15208.5,0.339,MORTGAGE,debt_consolidation,1
50,66706.85,16,1,0.196,0,10444.62,0.497,RENT,credit_card,1
26,119113.38,15,6,0.863,1,10169.18,0.173,MORTGAGE,credit_card,0
45,15906.29,1,9,0.057,0,5987.69,0.498,RENT,debt_consolidation,0
43,62128.28,12,3,0.399,1,500.0,0.078,RENT,debt_consolidation,0
55,38275.82,9,9,0.857,1,21096.6,0.393,OWN,home_improvement,0
64,67702.86,19,10,0.393,0,32827.98,0.268,OWN,debt_consolidation,0
50,56024.26,34,9,0.118,1,500.0,0.252,RENT,debt_consolidation,1
39,71760.81,24,5,0.266,0,6446.15,0.288,RENT,credit_card,1
38,80861.14,32,11,0.6,0,21764.25,0.173,OWN,credit_card,1
39,59233.26,6,10,0.152,1,14589.27,0.171,MORTGAGE,home_improvement,1
56,79905.15,7,4,0.655,2,22509.77,0.533,RENT,debt_consolidation,0
35,12000.0,26,11,0.438,0,14084.52,0.175,RENT,home_improvement,0
28,89989.95,10,13,0.334,1,9774.35,0.475,RENT,car,0
35,63251.37,29,12,0.241,2,12967.42,0.481,MORTGAGE,credit_card,0
21,78712.55,16,10,0.823,1,500.0,0.088,MORTGAGE,car,0
25,28162.73,7,11,0.397,0,4708.64,0.535,RENT,credit_card,0
24,36723.06,29,12,0.738,0,23534.51,0.484,RENT,debt_consolidation,1
54,58210.64,19,4,0.44,1,25727.1,0.508,RENT,credit_card,0
52,54625.17,28,10,0.092,1,27655.49,0.515,MORTGAGE,credit_card,1
51,61227.51,15,2,0.441,1,18967.82,0.39,OWN,car,0
41,78859.33,4,5,0.508,1,500.0,0.616,MORTGAGE,debt_consolidation,0
52,16165.15,23,14,0.458,0,9284.94,0.149,MORTGAGE,debt_consolidation,0
28,76424.02,4,4,0.816,1,26921.9,0.11,RENT,car,0
60,55182.2,23,12,0.911,0,29607.49,0.437,MORTGAGE,debt_consolidation,0
43,50516.8,14,6,0.787,0,27263.83,0.212,RENT,home_improvement,1
62,22635.46,27,3,0.583,0,12873.73,0.385,RENT,debt_consolidation,1
27,66067.07,30,1,0.541,0,3240.82,0.265,MORTGAGE,other,0
42,12000.0,14,8,0.645,0,14634.32,0.233,MORTGAGE,debt_consolidation,0
51,69264.67,30,6,0.288,2,15133.26,0.581,RENT,home_improvement,1
42,22173.67,3,7,0.812,0,29090.08,0.128,MORTGAGE,credit_card,1
40,56176.07,3,0,0.857,1,17050.12,0.174,OWN,other,0
28,52378.29,34,4,0.267,2,15150.13,0.457,MORTGAGE,other,0
37,80729.84,20,0,0.903,0,15661.46,0.48,MORTGAGE,car,1
31,51069.59,15,4,0.849,0,18598.73,0.508,RENT,debt_consolidation,0
34,39728.95,5,13,0.424,1,20637.96,0.197,MORTGAGE,credit_card,0
51,43854.74,10,2,0.909,3,8479.16,0.595,RENT,car,0
48,83003.42,24,10,0.12,0,5481.42,0.385,RENT,home_improvement,1
47,66798.53,28,0,0.028,0,27335.03,0.503,RENT,car,0
36,46516.14,32,8,0.348,1,500.0,0.108,MORTGAGE,car,1
63,49798.18,14,13,0.565,0,29739.73,0.246,MORTGAGE,debt_consolidation,1
24,20522.1,15,5,0.351,0,500.0,0.339,MORTGAGE,debt_consolidation,1
36,63546.43,5,2,0.942,0,9739.13,0.367,MORTGAGE,debt_consolidation,0
26,16284.05,2,8,0.255,1,23746.69,0.124,OWN,home_improvement,0
35,71539.52,15,4,0.281,2,15003.08,0.386,MORTGAGE,credit_card,0
63,57829.68,20,13,0.635,1,3151.71,0.436,MORTGAGE,debt_consolidation,0
37,107512.94,3,12,0.004,0,18837.85,0.249,RENT,home_improvement,1
60,30797.02,14,9,0.728,0,15603.04,0.325,RENT,debt_consolidation,1
42,52741.43,22,9,0.377,0,13055.57,0.211,MORTGAGE,credit_card,1
51,94562.33,28,9,0.978,0,9384.7,0.529,MORTGAGE,credit_card,1
41,81210.57,32,11,0.691,0,14688.55,0.38,RENT,credit_card,1
32,39683.33,11,6,0.052,0,9762.71,0.353,MORTGAGE,debt_consolidation,1
54,59927.28,13,14,0.093,0,36910.79,0.569,RENT,home_improvement,0
63,55043.99,30,5,0.088,1,12839.85,0.436,RENT,car,1
32,61203.03,24,0,0.953,2,11636.19,0.244,RENT,home_improvement,0
55,39629.03,9,10,0.684,1,10125.27,0.423,RENT,other,0
32,53034.95,23,9,0.428,3,30992.56,0.639,RENT,debt_consolidation,0
52,19842.85,5,14,0.2,1,500.0,0.083,OWN,debt_consolidation,0
55,57972.72,15,5,0.874,0,18234.89,0.395,MORTGAGE,debt_consolidation,1
40,64900.45,10,6,0.202,0,12846.39,0.136,RENT,home_improvement,1
53,49996.77,34,8,0.707,1,2189.4,0.519,RENT,debt_consolidation,0
32,19468.88,1,5,0.763,0,7628.31,0.402,MORTGAGE,other,0
24,76747.7,29,11,0.295,0,17852.59,0.565,RENT,credit_card,0
25,63019.55,9,6,0.505,0,7220.46,0.418,MORTGAGE,car,0
40,39027.67,1,11,0.223,1,17336.08,0.079,MORTGAGE,credit_card,0
60,48826.79,23,6,0.379,1,30562.38,0.351,OWN,home_improvement,1
26,21985.27,23,3,0.965,0,16535.41,0.547,RENT,credit_card,0
41,32440.98,4,14,0.693,2,1918.39,0.218,OWN,credit_card,0
51,43168.15,1,7,0.847,0,7378.83,0.096,MORTGAGE,car,0
29,82025.26,3,10,0.541,0,12431.35,0.446,MORTGAGE,debt_consolidation,1
52,40930.93,14,8,0.239,1,11829.88,0.346,OWN,car,1
34,69084.7,4,5,0.713,0,16368.12,0.076,MORTGAGE,home_improvement,1
56,43157.04,24,14,0.501,3,17811.99,0.264,RENT,home_improvement,0
46,60454.85,2,5,0.177,0,30574.75,0.23,MORTGAGE,debt_consolidation,0
45,51889.3,27,14,0.412,4,14966.52,0.497,MORTGAGE,debt_consolidation,0
28,74207.25,30,6,0.635,0,4630.25,0.309,OWN,debt_consolidation,1
41,43234.15,25,0,0.735,0,25384.26,0.318,MORTGAGE,home_improvement,0
58,20404.38,33,0,0.243,1,26367.22,0.514,MORTGAGE,debt_consolidation,1
21,24597.12,32,14,0.876,4,17091.99,0.283,RENT,other,0
54,43298.7,1,7,0.38,0,12782.45,0.42,RENT,other,0
42,27520.68,11,5,0.271,1,20602.92,0.272,MORTGAGE,debt_consolidation,1
52,64024.66,26,12,0.195,0,13100.28,0.28,RENT,home_improvement,0
50,44753.1,11,9,0.804,2,500.0,0.396,RENT,debt_consolidation,0
40,107241.34,25,9,0.354,0,20071.27,0.433,MORTGAGE,debt_consolidation,1
34,16770.28,27,10,0.483,0,23030.26,0.57,MORTGAGE,debt_consolidation,1
48,59479.93,34,2,0.223,2,27969.79,0.238,MORTGAGE,car,1
27,30185.03,11,1,0.686,1,8423.17,0.127,RENT,car,0
46,44145.17,12,10,0.781,1,17035.49,0.306,RENT,debt_consolidation,1
25,58111.23,0,0,0.339,1,17230.2,0.371,MORTGAGE,debt_consolidation,0
49,12000.0,9,10,0.945,0,15768.44,0.175,OWN,credit_card,1
48,60210.17,9,1,0.031,0,16033.7,0.54,RENT,credit_card,0
24,96863.96,15,3,0.133,0,15334.22,0.489,MORTGAGE,debt_consolidation,1
54,45024.36,14,10,0.589,1,16905.74,0.342,MORTGAGE,car,0
39,60715.77,29,9,0.701,0,21666.13,0.298,MORTGAGE,other,0
55,77548.28,27,11,0.251,0,25982.59,0.072,MORTGAGE,credit_card,1
22,51393.02,25,9,0.554,0,8193.01,0.345,RENT,car,1
28,42218.88,0,0,0.318,1,13449.29,0.398,MORTGAGE,home_improvement,0
42,12000.0,16,12,0.554,0,11196.53,0.54,MORTGAGE,credit_card,0
29,69101.8,25,3,0.659,1,9908.95,0.346,RENT,car,0
35,52510.29,8,2,0.973,1,500.0,0.157,RENT,credit_card,0
50,32720.96,14,13,0.456,1,15218.0,0.169,MORTGAGE,credit_card,0
27,57785.13,25,2,0.648,0,19313.88,0.138,MORTGAGE,debt_consolidation,1
50,42159.03,27,8,0.578,2,13604.1,0.606,OWN,home_improvement,0
25,43374.63,29,7,0.318,1,14919.38,0.506,RENT,debt_consolidation,0
28,68338.41,15,11,0.253,2,18765.93,0.544,RENT,debt_consolidation,0
46,25555.59,13,0,0.988,3,27700.08,0.572,OWN,credit_card,0
55,78040.94,13,1,0.207,1,11222.12,0.123,RENT,credit_card,1
28,24250.9,23,6,0.79,0,4455.49,0.436,RENT,debt_consolidation,0
34,40420.57,14,7,0.147,1,14186.04,0.457,MORTGAGE,debt_consolidation,1
61,97304.82,14,11,0.804,2,31952.05,0.214,OWN,car,0
64,79801.8,5,9,0.186,2,4551.89,0.36,MORTGAGE,credit_card,0
46,57147.29,16,2,0.967,0,20851.22,0.414,RENT,credit_card,0
40,34308.34,8,14,0.686,0,25421.22,0.544,MORTGAGE,car,0
36,43356.01,18,6,0.09,1,500.0,0.131,MORTGAGE,car,0
47,56612.06,31,14,0.693,3,18692.0,0.601,OWN,debt_consolidation,0
47,55825.51,27,14,0.604,1,20430.7,0.577,RENT,credit_card,0
33,53000.84,16,0,0.338,1,12593.98,0.578,OWN,debt_consolidation,0
22,54321.68,34,7,0.261,1,9182.05,0.073,MORTGAGE,credit_card,1
27,50283.75,34,6,0.719,0,9684.04,0.172,RENT,home_improvement,1
63,23276.47,15,7,0.741,1,12042.88,0.45,RENT,debt_consolidation,0
39,43636.76,26,4,0.327,2,12281.14,0.267,RENT,credit_card,0
42,75121.73,11,8,0.876,0,10583.01,0.084,OWN,debt_consolidation,0
41,24896.65,30,7,0.269,1,11899.72,0.49,RENT,credit_card,0
55,50829.78,13,2,0.07,1,25717.13,0.086,MORTGAGE,debt_consolidation,0
23,36965.41,9,4,0.6,1,4070.14,0.315,RENT,car,0
24,57449.71,4,2,0.107,1,500.0,0.591,MORTGAGE,credit_card,0
33,46450.07,29,12,0.277,1,25861.07,0.312,MORTGAGE,debt_consolidation,0
42,87502.66,10,10,0.507,0,13271.84,0.552,OWN,car,0
50,66144.83,28,5,0.286,0,11505.91,0.275,MORTGAGE,debt_consolidation,1
42,26140.33,3,5,0.215,0,13999.05,0.241,MORTGAGE,credit_card,0
40,69767.02,17,1,0.703,0,16883.49,0.109,MORTGAGE,credit_card,0
62,37957.66,14,4,0.547,1,10283.54,0.267,MORTGAGE,debt_consolidation,0
28,42306.08,15,13,0.84,0,19553.38,0.235,OWN,debt_consolidation,1
46,61904.02,5,0,0.581,1,6339.64,0.536,MORTGAGE,debt_consolidation,0
44,44181.56,2,2,0.483,0,12283.56,0.556,OWN,home_improvement,0
41,74642.83,12,12,0.261,1,500.0,0.082,RENT,home_improvement,0
56,37960.78,16,7,0.792,0,25550.13,0.104,MORTGAGE,debt_consolidation,0
32,41383.18,27,0,0.197,1,13415.21,0.424,OWN,debt_consolidation,0
62,40559.84,16,7,0.242,0,21030.94,0.317,OWN,car,0
35,42555.95,8,11,0.842,0,19289.17,0.213,MORTGAGE,debt_consolidation,1
44,79182.21,9,5,0.741,0,19948.32,0.193,MORTGAGE,debt_consolidation,0
43,68833.52,21,5,0.613,1,14930.02,0.194,MORTGAGE,home_improvement,1
58,92618.77,15,9,0.039,0,18494.05,0.339,RENT,debt_consolidation,0
40,104888.17,31,8,0.127,0,6348.44,0.06,OWN,other,1
33,32324.23,15,13,0.5,1,4459.39,0.476,RENT,debt_consolidation,0
21,56549.22,19,3,0.746,1,14090.05,0.235,RENT,car,0
37,29123.59,2,4,0.464,1,8882.01,0.305,MORTGAGE,credit_card,1
57,37892.67,6,2,0.017,0,27829.18,0.34,RENT,debt_consolidation,0
21,41138.18,29,9,0.184,0,18376.3,0.166,RENT,credit_card,1
60,31742.59,12,8,0.589,0,8551.67,0.536,RENT,other,0
44,31858.48,14,5,0.694,1,12556.14,0.445,OWN,credit_card,0
27,51825.74,20,10,0.033,1,16197.06,0.549,MORTGAGE,debt_consolidation,0
34,28232.19,2,5,0.043,1,14387.97,0.331,OWN,other,1
45,73526.79,17,2,0.261,2,17445.71,0.328,RENT,debt_consolidation,0
34,34809.42,12,8,0.084,1,15617.89,0.2,RENT,debt_consolidation,0
25,116810.52,5,6,0.542,1,2484.09,0.37,RENT,debt_consolidation,0
50,45069.54,14,6,0.124,1,500.0,0.396,RENT,car,1
50,56584.39,15,6,0.648,0,11637.52,0.281,RENT,debt_consolidation,0
26,26502.49,6,13,0.777,1,20044.43,0.15,RENT,debt_consolidation,0
33,92534.02,19,3,0.971,1,11738.68,0.22,MORTGAGE,other,0
31,79629.01,26,4,0.948,0,26129.08,0.058,MORTGAGE,home_improvement,1
50,61532.15,9,8,0.273,1,14578.02,0.246,RENT,debt_consolidation,1
53,25370.34,33,0,0.029,1,27214.76,0.389,MORTGAGE,credit_card,1
52,59634.67,21,2,0.329,1,25367.13,0.596,RENT,debt_consolidation,0
62,30328.52,27,8,0.708,1,24461.58,0.168,MORTGAGE,credit_card,0
54,87171.82,2,7,0.06,0,4168.4,0.081,MORTGAGE,debt_consolidation,1
35,72802.28,26,9,0.36,0,15154.27,0.213,MORTGAGE,home_improvement,1
25,57099.66,11,1,0.298,0,26004.96,0.136,MORTGAGE,car,0
48,12000.0,24,12,0.219,0,17451.1,0.433,RENT,debt_consolidation,1
61,33364.85,28,7,0.706,0,19989.24,0.053,MORTGAGE,debt_consolidation,1
63,70130.74,8,2,0.659,0,2509.01,0.589,MORTGAGE,credit_card,0
31,81683.44,9,4,0.535,1,32269.11,0.541,OWN,car,0
31,79401.74,2,3,0.911,0,7877.63,0.32,MORTGAGE,car,0
22,19975.71,21,6,0.103,0,500.0,0.557,MORTGAGE,car,1
27,61634.15,27,7,0.15,0,11839.87,0.395,MORTGAGE,other,0
45,77341.33,14,6,0.383,2,500.0,0.637,OWN,car,1
45,18516.62,5,6,0.656,1,5233.87,0.223,RENT,other,0
37,54826.1,11,13,0.584,1,38026.61,0.618,RENT,home_improvement,0
34,61024.53,14,14,0.074,0,11579.63,0.149,MORTGAGE,debt_consolidation,0
57,48383.18,32,7,0.958,0,2149.92,0.244,MORTGAGE,home_improvement,1
41,14252.44,4,14,0.305,0,15227.68,0.564,RENT,debt_consolidation,0
56,47834.64,12,12,0.359,1,6919.77,0.274,RENT,debt_consolidation,1
63,47799.28,22,12,0.624,0,22780.67,0.165,MORTGAGE,debt_consolidation,1
34,51742.41,8,3,0.945,0,6994.1,0.083,MORTGAGE,credit_card,1
29,42603.63,30,6,0.663,5,17436.6,0.232,MORTGAGE,home_improvement,0
62,45253.73,31,5,0.955,0,4676.47,0.245,RENT,credit_card,1
48,54126.46,13,1,0.188,0,38391.25,0.282,RENT,debt_consolidation,1
33,64734.0,26,1,0.619,0,19532.61,0.348,MORTGAGE,other,0
48,48302.61,26,9,0.829,1,13690.45,0.517,RENT,credit_card,0
43,45987.72,23,6,0.509,0,12363.38,0.057,MORTGAGE,debt_consolidation,1
60,57031.79,6,12,0.362,1,10017.6,0.533,MORTGAGE,debt_consolidation,0
32,12739.85,1,10,0.985,0,8151.78,0.367,RENT,debt_consolidation,0
64,65494.77,12,1,0.141,0,7904.43,0.466,MORTGAGE,other,1
62,54987.61,4,12,0.411,1,30104.96,0.486,RENT,debt_consolidation,0
28,55873.26,10,7,0.873,0,10026.47,0.547,MORTGAGE,other,0
28,76136.15,22,8,0.9,0,500.0,0.101,MORTGAGE,debt_consolidation,1
44,12038.06,20,14,0.98,1,4506.29,0.384,MORTGAGE,car,0
22,12000.0,7,9,0.885,0,23349.52,0.55,OWN,debt_consolidation,0
